"No.","Time","Source","Destination","Protocol","Length","Info"
"7560","1366.381024029","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.248? Tell 192.168.43.100"
"7561","1366.381905869","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.113? Tell 192.168.43.100"
"7562","1366.578852114","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.105? Tell 192.168.43.100"
"7563","1366.579647480","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.99? Tell 192.168.43.100"
"7564","1366.580588460","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.144? Tell 192.168.43.100"
"7565","1366.581444303","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.174? Tell 192.168.43.100"
"7566","1366.582322139","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.253? Tell 192.168.43.100"
"7567","1366.583125420","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.203? Tell 192.168.43.100"
"7568","1366.584225875","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.190? Tell 192.168.43.100"
"7569","1366.584886273","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.200? Tell 192.168.43.100"
"7570","1366.585737573","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.92? Tell 192.168.43.100"
"7571","1366.586632487","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.57? Tell 192.168.43.100"
"7572","1366.783748236","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.216? Tell 192.168.43.100"
"7573","1366.784470075","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.130? Tell 192.168.43.100"
"7574","1366.785352726","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.53? Tell 192.168.43.100"
"7575","1366.786202530","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.50? Tell 192.168.43.100"
"7576","1366.787097495","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.153? Tell 192.168.43.100"
"7577","1366.787918751","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.129? Tell 192.168.43.100"
"7578","1366.788823701","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.202? Tell 192.168.43.100"
"7579","1366.789704087","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.231? Tell 192.168.43.100"
"7580","1366.790574235","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.140? Tell 192.168.43.100"
"7581","1366.791455077","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.77? Tell 192.168.43.100"
"7582","1366.988582184","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.236? Tell 192.168.43.100"
